@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
4576,'2019/02/13 20:52:21:747',8,-0.007874,-0.015748,-0.023622,-0.007874,0.015748,0.007874,0,-0.007874,-0.007874,-0.023622,-0.03937,-0.023622,0,-0.015748,-0.023622,-0.007874,-0.100403,-0.197327,-0.458862,0.860474,-0.441895,-0.754883,0.507813,0.1875,0.3125,0,0,0
4577,'2019/02/13 20:52:21:755',8,0,-0.023622,-0.03937,-0.007874,-0.007874,-0.007874,-0.023622,-0.015748,0,0,-0.031496,-0.015748,0.015748,0,0,0,-0.100403,-0.197327,-0.458862,0.860474,-0.438477,-0.757813,0.509277,0.375,-0.1875,0.25,0,0
4578,'2019/02/13 20:52:21:792',8,-0.007874,-0.023622,-0.015748,-0.015748,-0.007874,-0.007874,0.023622,0,0,-0.031496,-0.031496,-0.015748,-0.023622,-0.007874,0,-0.007874,-0.100525,-0.197449,-0.458862,0.860413,-0.431641,-0.762207,0.499512,0.0625,0.375,1,0,0
4579,'2019/02/13 20:52:21:824',8,0,0,-0.047244,-0.015748,0.007874,-0.015748,0,0,-0.007874,0,-0.047244,-0.007874,0.007874,-0.007874,-0.015748,-0.015748,-0.100586,-0.197571,-0.458862,0.860413,-0.432617,-0.757813,0.50293,0.25,0.625,1.125,0,0
4580,'2019/02/13 20:52:21:858',8,-0.015748,-0.015748,-0.015748,-0.015748,0,-0.007874,-0.023622,0,-0.007874,-0.015748,-0.055118,0,-0.007874,-0.015748,0,-0.007874,-0.10083,-0.197876,-0.459351,0.860046,-0.432129,-0.759766,0.506836,-2.125,1.1875,1.0625,0,0
4581,'2019/02/13 20:52:21:904',8,-0.007874,-0.015748,-0.007874,-0.023622,-0.015748,-0.007874,-0.023622,-0.007874,-0.007874,-0.023622,-0.03937,-0.023622,0,0,0.007874,0,-0.101135,-0.19812,-0.459839,0.85968,-0.438965,-0.762207,0.509277,-2.375,0.125,1.3125,0,0
4582,'2019/02/13 20:52:21:918',8,-0.007874,-0.031496,-0.023622,-0.007874,0,0.015748,0.007874,0,-0.015748,-0.031496,0.007874,0.007874,0,-0.007874,-0.007874,-0.007874,-0.101135,-0.19812,-0.459839,0.85968,-0.433594,-0.760742,0.510742,-0.5625,0.125,0.875,0,0
4583,'2019/02/13 20:52:21:949',8,-0.015748,0,-0.007874,-0.007874,-0.007874,-0.015748,0,0,-0.007874,-0.007874,0.015748,-0.007874,-0.015748,-0.015748,-0.015748,0,-0.101135,-0.19812,-0.459778,0.859741,-0.440918,-0.75,0.510742,-0.4375,-0.375,0.625,0,0
4584,'2019/02/13 20:52:21:986',8,-0.031496,-0.03937,-0.031496,-0.015748,-0.007874,-0.007874,-0.023622,-0.015748,-0.007874,-0.007874,-0.007874,-0.015748,-0.007874,0,0,-0.007874,-0.101501,-0.197876,-0.460022,0.859558,-0.438477,-0.769531,0.508789,-1.1875,-0.8125,0.625,0,0
4585,'2019/02/13 20:52:22:025',8,-0.007874,-0.007874,-0.007874,0,-0.007874,-0.007874,-0.015748,-0.007874,-0.015748,-0.023622,-0.03937,-0.007874,-0.015748,-0.023622,-0.007874,0,-0.101501,-0.197876,-0.460022,0.859619,-0.431641,-0.761719,0.512695,0.25,-0.6875,0.6875,0,0
4586,'2019/02/13 20:52:22:064',8,-0.007874,-0.023622,-0.007874,0.007874,-0.007874,0.007874,0,-0.007874,0.007874,0.007874,-0.023622,-0.015748,-0.007874,0.007874,0,-0.007874,-0.101624,-0.197876,-0.460327,0.859436,-0.437012,-0.76416,0.506836,-2.3125,0.25,0.625,0,0
4587,'2019/02/13 20:52:22:101',8,-0.007874,0,-0.023622,-0.015748,0,-0.007874,-0.015748,-0.007874,-0.007874,-0.015748,0,-0.007874,0.007874,-0.007874,0,0,-0.101685,-0.197937,-0.460449,0.859314,-0.438477,-0.758789,0.510254,-0.125,0.9375,0.625,0,0
